member_sk,member_id,member_level,city,valid_from,valid_to,is_current
82,M00070,銀卡,台北市,2026-06-01,9999-12-31,Y
83,M00071,金卡,台中市,2020-01-01,9999-12-31,Y
84,M00072,銀卡,新北市,2020-01-01,9999-12-31,Y
85,M00073,白金,台北市,2020-01-01,9999-12-31,Y
86,M00074,一般,高雄市,2020-01-01,9999-12-31,Y
87,M00075,白金,台中市,2020-01-01,9999-12-31,Y
88,M00076,銀卡,台北市,2020-01-01,9999-12-31,Y
89,M00077,銀卡,新北市,2020-01-01,9999-12-31,Y
90,M00078,白金,台南市,2020-01-01,9999-12-31,Y
91,M00079,銀卡,台南市,2020-01-01,9999-12-31,Y
92,M00080,銀卡,高雄市,2020-01-01,9999-12-31,Y
93,M00081,金卡,台中市,2020-01-01,9999-12-31,Y
94,M00082,金卡,高雄市,2020-01-01,9999-12-31,Y
95,M00083,銀卡,台中市,2020-01-01,9999-12-31,Y
96,M00084,一般,台南市,2020-01-01,9999-12-31,Y
97,M00085,金卡,桃園市,2020-01-01,9999-12-31,Y
98,M00086,銀卡,台北市,2020-01-01,9999-12-31,Y
99,M00087,金卡,台北市,2020-01-01,9999-12-31,Y
100,M00088,銀卡,台北市,2020-01-01,9999-12-31,Y
101,M00089,銀卡,新北市,2020-01-01,9999-12-31,Y
102,M00090,銀卡,台南市,2020-01-01,2026-05-31,N
103,M00090,金卡,台南市,2026-06-01,9999-12-31,Y
104,M00091,金卡,高雄市,2020-01-01,9999-12-31,Y
105,M00092,銀卡,新北市,2020-01-01,2026-05-31,N
106,M00092,金卡,新北市,2026-06-01,9999-12-31,Y
107,M00093,金卡,台中市,2020-01-01,9999-12-31,Y
108,M00094,一般,台南市,2020-01-01,9999-12-31,Y
109,M00095,白金,高雄市,2020-01-01,9999-12-31,Y
110,M00096,銀卡,桃園市,2020-01-01,9999-12-31,Y
111,M00097,銀卡,高雄市,2020-01-01,9999-12-31,Y
112,M00098,銀卡,桃園市,2020-01-01,9999-12-31,Y
113,M00099,白金,台南市,2020-01-01,9999-12-31,Y
114,M00100,金卡,新北市,2020-01-01,9999-12-31,Y
115,M00101,金卡,新北市,2020-01-01,9999-12-31,Y
116,M00102,一般,台南市,2020-01-01,9999-12-31,Y
117,M00103,白金,新北市,2020-01-01,9999-12-31,Y
118,M00104,白金,台北市,2020-01-01,9999-12-31,Y
119,M00105,白金,新北市,2020-01-01,9999-12-31,Y
120,M00106,金卡,台南市,2020-01-01,9999-12-31,Y
121,M00107,白金,桃園市,2020-01-01,9999-12-31,Y
122,M00108,白金,新北市,2020-01-01,9999-12-31,Y
123,M00109,白金,台南市,2020-01-01,2026-05-31,N
124,M00109,白金,台南市,2026-06-01,9999-12-31,Y
125,M00110,銀卡,高雄市,2020-01-01,9999-12-31,Y
126,M00111,銀卡,高雄市,2020-01-01,9999-12-31,Y
127,M00112,一般,高雄市,2020-01-01,9999-12-31,Y
128,M00113,金卡,高雄市,2020-01-01,9999-12-31,Y
129,M00114,銀卡,新北市,2020-01-01,9999-12-31,Y
130,M00115,白金,台北市,2020-01-01,2026-05-31,N
131,M00115,白金,台北市,2026-06-01,9999-12-31,Y
132,M00116,金卡,新北市,2020-01-01,2026-05-31,N
133,M00116,白金,新北市,2026-06-01,9999-12-31,Y
134,M00117,白金,桃園市,2020-01-01,2026-05-31,N
135,M00117,白金,桃園市,2026-06-01,9999-12-31,Y
136,M00118,白金,桃園市,2020-01-01,9999-12-31,Y
137,M00119,金卡,新北市,2020-01-01,9999-12-31,Y
138,M00120,銀卡,台北市,2020-01-01,9999-12-31,Y
139,M00121,金卡,台中市,2020-01-01,2026-05-31,N
140,M00121,白金,台中市,2026-06-01,9999-12-31,Y
141,M00122,金卡,新北市,2020-01-01,9999-12-31,Y
142,M00123,一般,新北市,2020-01-01,9999-12-31,Y
143,M00124,銀卡,台南市,2020-01-01,9999-12-31,Y
144,M00125,白金,桃園市,2020-01-01,9999-12-31,Y
145,M00126,一般,台南市,2020-01-01,9999-12-31,Y
146,M00127,白金,桃園市,2020-01-01,9999-12-31,Y
147,M00128,一般,新北市,2020-01-01,9999-12-31,Y
148,M00129,銀卡,台北市,2020-01-01,9999-12-31,Y
149,M00130,金卡,台南市,2020-01-01,9999-12-31,Y
150,M00131,銀卡,台中市,2020-01-01,9999-12-31,Y
151,M00132,一般,桃園市,2020-01-01,9999-12-31,Y
152,M00133,一般,台中市,2020-01-01,9999-12-31,Y
153,M00134,白金,台北市,2020-01-01,9999-12-31,Y
154,M00135,白金,台南市,2020-01-01,2026-05-31,N
155,M00135,白金,台南市,2026-06-01,9999-12-31,Y
156,M00136,一般,台北市,2020-01-01,2026-05-31,N
157,M00136,銀卡,台北市,2026-06-01,9999-12-31,Y
158,M00137,銀卡,桃園市,2020-01-01,9999-12-31,Y
159,M00138,一般,桃園市,2020-01-01,9999-12-31,Y
160,M00139,金卡,台南市,2020-01-01,9999-12-31,Y
161,M00140,白金,新北市,2020-01-01,9999-12-31,Y
162,M00141,銀卡,新北市,2020-01-01,9999-12-31,Y
163,M00142,金卡,桃園市,2020-01-01,9999-12-31,Y
164,M00143,白金,桃園市,2020-01-01,9999-12-31,Y
165,M00144,金卡,台中市,2020-01-01,9999-12-31,Y
166,M00145,一般,台南市,2020-01-01,9999-12-31,Y
167,M00146,金卡,桃園市,2020-01-01,9999-12-31,Y
168,M00147,一般,台南市,2020-01-01,9999-12-31,Y
169,M00148,一般,桃園市,2020-01-01,2026-05-31,N
170,M00148,銀卡,桃園市,2026-06-01,9999-12-31,Y
171,M00149,金卡,高雄市,2020-01-01,2026-05-31,N
172,M00149,白金,高雄市,2026-06-01,9999-12-31,Y
173,M00150,白金,台南市,2020-01-01,2026-05-31,N
174,M00150,白金,台南市,2026-06-01,9999-12-31,Y
175,M00151,白金,台南市,2020-01-01,9999-12-31,Y
176,M00152,一般,台北市,2020-01-01,9999-12-31,Y
177,M00153,銀卡,台北市,2020-01-01,9999-12-31,Y
178,M00154,金卡,桃園市,2020-01-01,9999-12-31,Y
179,M00155,白金,台中市,2020-01-01,9999-12-31,Y
180,M00156,白金,新北市,2020-01-01,9999-12-31,Y
181,M00157,一般,新北市,2020-01-01,9999-12-31,Y
182,M00158,白金,台南市,2020-01-01,9999-12-31,Y
183,M00159,白金,台南市,2020-01-01,9999-12-31,Y
184,M00160,金卡,高雄市,2020-01-01,9999-12-31,Y
185,M00161,銀卡,桃園市,2020-01-01,9999-12-31,Y
186,M00162,金卡,新北市,2020-01-01,9999-12-31,Y
187,M00163,金卡,新北市,2020-01-01,9999-12-31,Y
188,M00164,金卡,台南市,2020-01-01,9999-12-31,Y
189,M00165,一般,台中市,2020-01-01,9999-12-31,Y
190,M00166,白金,高雄市,2020-01-01,9999-12-31,Y
191,M00167,一般,台北市,2020-01-01,9999-12-31,Y
192,M00168,一般,桃園市,2020-01-01,9999-12-31,Y
193,M00169,金卡,高雄市,2020-01-01,9999-12-31,Y
194,M00170,白金,桃園市,2020-01-01,2026-05-31,N
195,M00170,白金,桃園市,2026-06-01,9999-12-31,Y
196,M00171,白金,桃園市,2020-01-01,9999-12-31,Y
197,M00172,一般,高雄市,2020-01-01,9999-12-31,Y
198,M00173,金卡,桃園市,2020-01-01,2026-05-31,N
199,M00173,白金,桃園市,2026-06-01,9999-12-31,Y
200,M00174,金卡,台北市,2020-01-01,2026-05-31,N
201,M00174,白金,台北市,2026-06-01,9999-12-31,Y
202,M00175,白金,台北市,2020-01-01,9999-12-31,Y
203,M00176,金卡,桃園市,2020-01-01,9999-12-31,Y
204,M00177,銀卡,台南市,2020-01-01,2026-05-31,N
205,M00177,金卡,台南市,2026-06-01,9999-12-31,Y
206,M00178,一般,台南市,2020-01-01,9999-12-31,Y
207,M00179,一般,台南市,2020-01-01,9999-12-31,Y
208,M00180,一般,台南市,2020-01-01,2026-05-31,N
209,M00180,銀卡,台南市,2026-06-01,9999-12-31,Y
210,M00181,白金,台中市,2020-01-01,9999-12-31,Y
211,M00182,銀卡,台中市,2020-01-01,9999-12-31,Y
212,M00183,銀卡,新北市,2020-01-01,9999-12-31,Y
213,M00184,銀卡,台中市,2020-01-01,9999-12-31,Y
214,M00185,金卡,高雄市,2020-01-01,9999-12-31,Y
215,M00186,一般,新北市,2020-01-01,9999-12-31,Y
216,M00187,銀卡,高雄市,2020-01-01,2026-05-31,N
217,M00187,金卡,高雄市,2026-06-01,9999-12-31,Y
218,M00188,銀卡,新北市,2020-01-01,9999-12-31,Y
219,M00189,一般,高雄市,2020-01-01,9999-12-31,Y
220,M00190,白金,台北市,2020-01-01,2026-05-31,N
221,M00190,白金,台北市,2026-06-01,9999-12-31,Y
222,M00191,金卡,台南市,2020-01-01,9999-12-31,Y
223,M00192,一般,桃園市,2020-01-01,2026-05-31,N
224,M00192,銀卡,桃園市,2026-06-01,9999-12-31,Y
225,M00193,金卡,台中市,2020-01-01,2026-05-31,N
226,M00193,白金,台中市,2026-06-01,9999-12-31,Y
227,M00194,白金,新北市,2020-01-01,9999-12-31,Y
228,M00195,金卡,台北市,2020-01-01,9999-12-31,Y
229,M00196,白金,新北市,2020-01-01,9999-12-31,Y
230,M00197,金卡,新北市,2020-01-01,9999-12-31,Y
231,M00198,白金,台中市,2020-01-01,9999-12-31,Y
232,M00199,金卡,台中市,2020-01-01,2026-05-31,N
233,M00199,白金,台中市,2026-06-01,9999-12-31,Y
234,M00200,銀卡,桃園市,2020-01-01,9999-12-31,Y
235,M00201,銀卡,高雄市,2020-01-01,2026-05-31,N
236,M00201,金卡,高雄市,2026-06-01,9999-12-31,Y
237,M00202,白金,高雄市,2020-01-01,9999-12-31,Y
238,M00203,金卡,台南市,2020-01-01,9999-12-31,Y
239,M00204,白金,桃園市,2020-01-01,9999-12-31,Y
240,M00205,白金,台中市,2020-01-01,9999-12-31,Y
241,M00206,金卡,新北市,2020-01-01,9999-12-31,Y
242,M00207,白金,新北市,2020-01-01,9999-12-31,Y
243,M00208,一般,台北市,2020-01-01,9999-12-31,Y
244,M00209,銀卡,新北市,2020-01-01,9999-12-31,Y
245,M00210,銀卡,新北市,2020-01-01,9999-12-31,Y
246,M00211,金卡,台南市,2020-01-01,2026-05-31,N
247,M00211,白金,台南市,2026-06-01,9999-12-31,Y
248,M00212,金卡,高雄市,2020-01-01,9999-12-31,Y
249,M00213,白金,台北市,2020-01-01,9999-12-31,Y
250,M00214,金卡,台南市,2020-01-01,9999-12-31,Y
251,M00215,白金,高雄市,2020-01-01,9999-12-31,Y
252,M00216,一般,高雄市,2020-01-01,9999-12-31,Y
253,M00217,金卡,高雄市,2020-01-01,2026-05-31,N
254,M00217,白金,高雄市,2026-06-01,9999-12-31,Y
255,M00218,金卡,高雄市,2020-01-01,9999-12-31,Y
256,M00219,一般,台中市,2020-01-01,9999-12-31,Y
257,M00220,白金,台中市,2020-01-01,9999-12-31,Y
258,M00221,白金,台中市,2020-01-01,9999-12-31,Y
259,M00222,銀卡,台北市,2020-01-01,9999-12-31,Y
260,M00223,銀卡,台中市,2020-01-01,9999-12-31,Y
261,M00224,白金,新北市,2020-01-01,9999-12-31,Y
262,M00225,一般,高雄市,2020-01-01,9999-12-31,Y
263,M00226,一般,台北市,2020-01-01,9999-12-31,Y
264,M00227,金卡,桃園市,2020-01-01,9999-12-31,Y
265,M00228,金卡,桃園市,2020-01-01,9999-12-31,Y
266,M00229,一般,台北市,2020-01-01,2026-05-31,N
267,M00229,銀卡,台北市,2026-06-01,9999-12-31,Y
268,M00230,白金,桃園市,2020-01-01,2026-05-31,N
269,M00230,白金,桃園市,2026-06-01,9999-12-31,Y
270,M00231,金卡,高雄市,2020-01-01,9999-12-31,Y
271,M00232,一般,台北市,2020-01-01,2026-05-31,N
272,M00232,銀卡,台北市,2026-06-01,9999-12-31,Y
273,M00233,一般,台北市,2020-01-01,2026-05-31,N
274,M00233,銀卡,台北市,2026-06-01,9999-12-31,Y
275,M00234,銀卡,台中市,2020-01-01,9999-12-31,Y
276,M00235,銀卡,桃園市,2020-01-01,9999-12-31,Y
277,M00236,金卡,台北市,2020-01-01,2026-05-31,N
278,M00236,白金,台北市,2026-06-01,9999-12-31,Y
279,M00237,一般,台中市,2020-01-01,9999-12-31,Y
280,M00238,一般,桃園市,2020-01-01,9999-12-31,Y
281,M00239,白金,新北市,2020-01-01,9999-12-31,Y
282,M00240,一般,桃園市,2020-01-01,2026-05-31,N
283,M00240,銀卡,桃園市,2026-06-01,9999-12-31,Y
284,M00241,白金,台北市,2020-01-01,2026-05-31,N
285,M00241,白金,台北市,2026-06-01,9999-12-31,Y
286,M00242,金卡,新北市,2020-01-01,9999-12-31,Y
287,M00243,一般,桃園市,2020-01-01,9999-12-31,Y
288,M00244,銀卡,台中市,2020-01-01,9999-12-31,Y
289,M00245,白金,高雄市,2020-01-01,9999-12-31,Y
290,M00246,一般,台南市,2020-01-01,9999-12-31,Y
291,M00247,一般,新北市,2020-01-01,2026-05-31,N
292,M00247,銀卡,新北市,2026-06-01,9999-12-31,Y
293,M00248,一般,桃園市,2020-01-01,9999-12-31,Y
294,M00249,白金,高雄市,2020-01-01,9999-12-31,Y
295,M00250,白金,高雄市,2020-01-01,9999-12-31,Y
296,M00251,銀卡,新北市,2020-01-01,2026-05-31,N
297,M00251,金卡,新北市,2026-06-01,9999-12-31,Y
298,M00252,白金,台北市,2020-01-01,9999-12-31,Y
299,M00253,銀卡,台南市,2020-01-01,9999-12-31,Y
300,M00254,金卡,新北市,2020-01-01,9999-12-31,Y
301,M00255,一般,高雄市,2020-01-01,9999-12-31,Y
302,M00256,一般,台南市,2020-01-01,9999-12-31,Y
303,M00257,銀卡,新北市,2020-01-01,2026-05-31,N
304,M00257,金卡,新北市,2026-06-01,9999-12-31,Y
305,M00258,金卡,台北市,2020-01-01,9999-12-31,Y
306,M00259,白金,台中市,2020-01-01,9999-12-31,Y
307,M00260,金卡,台南市,2020-01-01,9999-12-31,Y
308,M00261,一般,台北市,2020-01-01,9999-12-31,Y
309,M00262,銀卡,台南市,2020-01-01,9999-12-31,Y
310,M00263,一般,台北市,2020-01-01,9999-12-31,Y
311,M00264,銀卡,台北市,2020-01-01,9999-12-31,Y
312,M00265,金卡,台南市,2020-01-01,9999-12-31,Y
313,M00266,一般,台中市,2020-01-01,9999-12-31,Y
314,M00267,金卡,台南市,2020-01-01,9999-12-31,Y
315,M00268,銀卡,台中市,2020-01-01,9999-12-31,Y
316,M00269,銀卡,新北市,2020-01-01,9999-12-31,Y
317,M00270,銀卡,高雄市,2020-01-01,9999-12-31,Y
318,M00271,金卡,新北市,2020-01-01,9999-12-31,Y
319,M00272,銀卡,桃園市,2020-01-01,2026-05-31,N
320,M00272,金卡,桃園市,2026-06-01,9999-12-31,Y
321,M00273,銀卡,台北市,2020-01-01,9999-12-31,Y
322,M00274,金卡,台中市,2020-01-01,9999-12-31,Y
323,M00275,金卡,台中市,2020-01-01,9999-12-31,Y
324,M00276,一般,桃園市,2020-01-01,9999-12-31,Y
325,M00277,白金,台中市,2020-01-01,9999-12-31,Y
326,M00278,白金,桃園市,2020-01-01,9999-12-31,Y
327,M00279,銀卡,台南市,2020-01-01,9999-12-31,Y
328,M00280,金卡,高雄市,2020-01-01,9999-12-31,Y
329,M00281,一般,新北市,2020-01-01,2026-05-31,N
330,M00281,銀卡,新北市,2026-06-01,9999-12-31,Y
331,M00282,金卡,新北市,2020-01-01,9999-12-31,Y
332,M00283,一般,新北市,2020-01-01,9999-12-31,Y
333,M00284,銀卡,新北市,2020-01-01,9999-12-31,Y
334,M00285,金卡,台南市,2020-01-01,9999-12-31,Y
335,M00286,白金,台中市,2020-01-01,9999-12-31,Y
336,M00287,白金,台南市,2020-01-01,9999-12-31,Y
337,M00288,銀卡,台北市,2020-01-01,9999-12-31,Y
338,M00289,銀卡,台南市,2020-01-01,9999-12-31,Y
339,M00290,一般,桃園市,2020-01-01,2026-05-31,N
340,M00290,銀卡,桃園市,2026-06-01,9999-12-31,Y
341,M00291,一般,桃園市,2020-01-01,9999-12-31,Y
342,M00292,一般,台北市,2020-01-01,9999-12-31,Y
343,M00293,一般,桃園市,2020-01-01,9999-12-31,Y
344,M00294,一般,台北市,2020-01-01,9999-12-31,Y
345,M00295,銀卡,桃園市,2020-01-01,9999-12-31,Y
346,M00296,金卡,台南市,2020-01-01,9999-12-31,Y
347,M00297,金卡,台南市,2020-01-01,2026-05-31,N
348,M00297,白金,台南市,2026-06-01,9999-12-31,Y
349,M00298,一般,台中市,2020-01-01,9999-12-31,Y
350,M00299,銀卡,桃園市,2020-01-01,9999-12-31,Y
351,M00300,金卡,桃園市,2020-01-01,9999-12-31,Y
352,M00301,銀卡,新北市,2020-01-01,9999-12-31,Y
353,M00302,金卡,台中市,2020-01-01,9999-12-31,Y
354,M00303,銀卡,新北市,2020-01-01,9999-12-31,Y
355,M00304,白金,桃園市,2020-01-01,9999-12-31,Y
356,M00305,銀卡,新北市,2020-01-01,2026-05-31,N
357,M00305,金卡,新北市,2026-06-01,9999-12-31,Y
358,M00306,銀卡,台南市,2020-01-01,9999-12-31,Y
359,M00307,白金,台南市,2020-01-01,9999-12-31,Y
360,M00308,白金,台北市,2020-01-01,9999-12-31,Y
361,M00309,白金,台南市,2020-01-01,9999-12-31,Y
362,M00310,白金,台南市,2020-01-01,9999-12-31,Y
363,M00311,金卡,台南市,2020-01-01,9999-12-31,Y
364,M00312,金卡,新北市,2020-01-01,2026-05-31,N
365,M00312,白金,新北市,2026-06-01,9999-12-31,Y
366,M00313,白金,新北市,2020-01-01,9999-12-31,Y
367,M00314,銀卡,台中市,2020-01-01,9999-12-31,Y
368,M00315,一般,台南市,2020-01-01,9999-12-31,Y
369,M00316,銀卡,新北市,2020-01-01,2026-05-31,N
370,M00316,金卡,新北市,2026-06-01,9999-12-31,Y
371,M00317,一般,台南市,2020-01-01,2026-05-31,N
372,M00317,銀卡,台南市,2026-06-01,9999-12-31,Y
373,M00318,金卡,高雄市,2020-01-01,9999-12-31,Y
374,M00319,一般,高雄市,2020-01-01,9999-12-31,Y
375,M00320,一般,台中市,2020-01-01,9999-12-31,Y
376,M00321,金卡,台北市,2020-01-01,9999-12-31,Y
377,M00322,金卡,台北市,2020-01-01,9999-12-31,Y
378,M00323,白金,新北市,2020-01-01,9999-12-31,Y
379,M00324,白金,台北市,2020-01-01,9999-12-31,Y
380,M00325,一般,新北市,2020-01-01,9999-12-31,Y
381,M00326,金卡,新北市,2020-01-01,9999-12-31,Y
382,M00327,白金,桃園市,2020-01-01,2026-05-31,N
383,M00327,白金,桃園市,2026-06-01,9999-12-31,Y
384,M00328,一般,高雄市,2020-01-01,9999-12-31,Y
385,M00329,金卡,台中市,2020-01-01,2026-05-31,N
386,M00329,白金,台中市,2026-06-01,9999-12-31,Y
387,M00330,銀卡,新北市,2020-01-01,9999-12-31,Y
388,M00331,金卡,台北市,2020-01-01,9999-12-31,Y
389,M00332,銀卡,台中市,2020-01-01,9999-12-31,Y
390,M00333,金卡,桃園市,2020-01-01,9999-12-31,Y
391,M00334,銀卡,高雄市,2020-01-01,9999-12-31,Y
392,M00335,白金,台南市,2020-01-01,9999-12-31,Y
393,M00336,銀卡,桃園市,2020-01-01,9999-12-31,Y
394,M00337,金卡,高雄市,2020-01-01,9999-12-31,Y
395,M00338,銀卡,高雄市,2020-01-01,2026-05-31,N
396,M00338,金卡,高雄市,2026-06-01,9999-12-31,Y
397,M00339,銀卡,台北市,2020-01-01,9999-12-31,Y
398,M00340,一般,台中市,2020-01-01,9999-12-31,Y
399,M00341,白金,台北市,2020-01-01,9999-12-31,Y
400,M00342,一般,桃園市,2020-01-01,9999-12-31,Y
401,M00343,銀卡,新北市,2020-01-01,9999-12-31,Y
402,M00344,金卡,台北市,2020-01-01,9999-12-31,Y
403,M00345,金卡,桃園市,2020-01-01,9999-12-31,Y
404,M00346,白金,桃園市,2020-01-01,9999-12-31,Y
405,M00347,銀卡,桃園市,2020-01-01,9999-12-31,Y
406,M00348,金卡,高雄市,2020-01-01,9999-12-31,Y
407,M00349,一般,桃園市,2020-01-01,9999-12-31,Y
408,M00350,一般,桃園市,2020-01-01,2026-05-31,N
409,M00350,銀卡,桃園市,2026-06-01,9999-12-31,Y
410,M00351,一般,台南市,2020-01-01,9999-12-31,Y
411,M00352,金卡,台北市,2020-01-01,2026-05-31,N
412,M00352,白金,台北市,2026-06-01,9999-12-31,Y
413,M00353,白金,高雄市,2020-01-01,9999-12-31,Y
414,M00354,白金,新北市,2020-01-01,9999-12-31,Y
415,M00355,銀卡,台北市,2020-01-01,9999-12-31,Y
416,M00356,一般,桃園市,2020-01-01,9999-12-31,Y
417,M00357,金卡,新北市,2020-01-01,2026-05-31,N
418,M00357,白金,新北市,2026-06-01,9999-12-31,Y
419,M00358,一般,高雄市,2020-01-01,2026-05-31,N
420,M00358,銀卡,高雄市,2026-06-01,9999-12-31,Y
421,M00359,白金,台中市,2020-01-01,9999-12-31,Y
422,M00360,金卡,台南市,2020-01-01,9999-12-31,Y
423,M00361,白金,台北市,2020-01-01,9999-12-31,Y
424,M00362,白金,桃園市,2020-01-01,9999-12-31,Y
425,M00363,一般,台北市,2020-01-01,9999-12-31,Y
426,M00364,一般,台中市,2020-01-01,9999-12-31,Y
427,M00365,一般,台南市,2020-01-01,2026-05-31,N
428,M00365,銀卡,台南市,2026-06-01,9999-12-31,Y
429,M00366,白金,台北市,2020-01-01,9999-12-31,Y
430,M00367,白金,高雄市,2020-01-01,9999-12-31,Y
431,M00368,白金,台中市,2020-01-01,9999-12-31,Y
432,M00369,銀卡,新北市,2020-01-01,9999-12-31,Y
433,M00370,白金,台南市,2020-01-01,9999-12-31,Y
434,M00371,白金,新北市,2020-01-01,9999-12-31,Y
435,M00372,金卡,台南市,2020-01-01,2026-05-31,N
436,M00372,白金,台南市,2026-06-01,9999-12-31,Y
437,M00373,銀卡,台中市,2020-01-01,9999-12-31,Y
438,M00374,銀卡,高雄市,2020-01-01,9999-12-31,Y
439,M00375,金卡,台北市,2020-01-01,9999-12-31,Y
440,M00376,一般,桃園市,2020-01-01,2026-05-31,N
441,M00376,銀卡,桃園市,2026-06-01,9999-12-31,Y
442,M00377,銀卡,台中市,2020-01-01,9999-12-31,Y
443,M00378,金卡,台北市,2020-01-01,9999-12-31,Y
444,M00379,銀卡,高雄市,2020-01-01,9999-12-31,Y
445,M00380,白金,台南市,2020-01-01,9999-12-31,Y
446,M00381,一般,桃園市,2020-01-01,9999-12-31,Y
447,M00382,金卡,新北市,2020-01-01,9999-12-31,Y
448,M00383,白金,台中市,2020-01-01,9999-12-31,Y
449,M00384,白金,新北市,2020-01-01,9999-12-31,Y
450,M00385,一般,桃園市,2020-01-01,9999-12-31,Y
