order_id,member_sk,member_id,product_sk,date_key,order_status,quantity,amount_twd,coupon_discount_twd
O0000039,341,M00291,95,20260531,cancelled,2,30993.0,200
O0000040,412,M00352,59,20260626,paid,2,85803.0,600
O0000041,215,M00186,95,20260606,cancelled,2,4489.0,200
O0000042,527,M00454,34,20260630,completed,3,14181.0,600
O0000043,92,M00080,78,20260523,paid,1,20581.0,800
O0000044,51,M00045,7,20260525,cancelled,1,107272.0,0
O0000045,182,M00158,77,20260513,paid,2,112063.0,400
O0000046,162,M00141,66,20260504,paid,2,1404.0,600
O0000047,83,M00071,52,20260616,paid,3,12839.0,800
O0000048,438,M00374,49,20260607,completed,2,62075.0,600
O0000049,498,M00428,20,20260521,paid,2,24770.0,0
O0000050,246,M00211,64,20260508,paid,2,38988.0,800
O0000051,45,M00039,6,20260529,completed,3,60246.0,200
O0000052,490,M00422,52,20260508,completed,1,30454.0,200
O0000053,182,M00158,17,20260608,paid,3,22165.0,200
O0000054,160,M00139,94,20260614,paid,2,77293.0,400
O0000055,104,M00091,53,20260621,completed,1,101436.0,200
O0000056,33,M00027,2,20260630,cancelled,2,118823.0,400
O0000057,423,M00361,81,20260509,paid,3,60645.0,400
O0000058,154,M00135,13,20260513,paid,3,110961.0,800
O0000059,295,M00250,97,20260625,cancelled,1,28157.0,0
O0000060,354,M00303,43,20260510,paid,2,65684.0,200
O0000061,492,M00424,45,20260620,completed,2,100901.0,400
O0000062,334,M00285,77,20260524,paid,1,114304.0,0
O0000063,474,M00407,14,20260601,paid,3,62936.0,600
O0000064,396,M00338,53,20260615,completed,1,55215.0,600
O0000065,58,M00051,59,20260621,cancelled,3,34043.0,200
O0000066,376,M00321,76,20260619,paid,1,6007.0,800
O0000067,534,M00461,60,20260518,cancelled,1,14657.0,200
O0000068,299,M00253,38,20260502,completed,2,62559.0,600
O0000069,541,M00467,79,20260529,paid,3,112040.0,0
O0000070,260,M00223,65,20260503,paid,1,41233.0,400
O0000071,393,M00336,95,20260604,completed,3,81597.0,800
O0000072,332,M00283,20,20260622,paid,1,4793.0,0
O0000073,352,M00301,77,20260601,cancelled,3,65119.0,800
O0000074,299,M00253,97,20260627,paid,2,72158.0,400
O0000075,128,M00113,11,20260509,completed,2,65743.0,400
O0000076,126,M00111,1,20260626,paid,3,14962.0,600
O0000077,318,M00271,16,20260629,paid,2,55664.0,200
O0000078,301,M00255,9,20260501,completed,1,98034.0,0
O0000079,366,M00313,21,20260629,paid,3,83397.0,400
O0000080,487,M00419,46,20260513,paid,1,119969.0,400
O0000081,84,M00072,9,20260607,paid,1,115563.0,400
O0000082,541,M00467,8,20260506,completed,3,15675.0,600
O0000083,467,M00401,96,20260615,paid,2,3996.0,200
O0000084,96,M00084,83,20260617,completed,3,71063.0,800
O0000085,124,M00109,46,20260624,completed,2,67581.0,600
O0000086,6,M00006,9,20260601,completed,2,51974.0,200
O0000087,92,M00080,41,20260525,cancelled,3,77676.0,200
O0000088,362,M00310,13,20260625,cancelled,2,45519.0,600
O0000089,244,M00209,40,20260602,completed,2,67911.0,200
O0000090,348,M00297,48,20260601,completed,2,61060.0,200
O0000091,197,M00172,41,20260525,paid,2,35295.0,0
O0000092,414,M00354,47,20260613,cancelled,2,100108.0,400
O0000093,571,M00493,87,20260602,cancelled,1,3762.0,400
O0000094,388,M00331,57,20260609,completed,1,71576.0,400
O0000095,142,M00123,95,20260613,cancelled,1,58758.0,200
O0000096,323,M00275,8,20260502,completed,3,65634.0,400
O0000097,480,M00412,77,20260621,completed,3,37582.0,200
O0000098,114,M00100,71,20260504,completed,1,118846.0,200
O0000099,3,M00003,100,20260505,completed,2,2974.0,800
O0000100,222,M00191,21,20260614,cancelled,3,1308.0,400
O0000101,544,M00469,34,20260502,paid,1,41668.0,200
O0000102,320,M00272,12,20260601,completed,1,81092.0,0
O0000103,203,M00176,74,20260618,completed,2,91211.0,600
O0000104,24,M00021,40,20260509,paid,2,89080.0,400
O0000105,572,M00494,75,20260621,paid,2,38601.0,0
O0000106,564,M00488,10,20260618,completed,3,33634.0,400
O0000107,342,M00292,51,20260622,completed,1,54895.0,200
O0000108,163,M00142,85,20260518,cancelled,3,82552.0,400
O0000109,294,M00249,1,20260613,completed,3,40188.0,800
O0000110,227,M00194,61,20260529,completed,3,116908.0,200
O0000111,287,M00243,91,20260509,cancelled,1,58365.0,400
O0000112,416,M00356,22,20260615,paid,2,65314.0,400
O0000113,350,M00299,82,20260507,paid,3,91899.0,800
O0000114,141,M00122,37,20260628,cancelled,3,119146.0,400
O0000115,56,M00049,55,20260614,cancelled,1,94434.0,800
O0000116,506,M00435,89,20260620,cancelled,2,102873.0,200
O0000117,302,M00256,59,20260610,paid,3,103031.0,600
O0000118,474,M00407,73,20260515,completed,3,20300.0,400
O0000119,394,M00337,94,20260520,paid,1,95970.0,400
O0000120,293,M00248,49,20260617,paid,1,63181.0,200
O0000121,232,M00199,69,20260504,completed,3,43010.0,200
O0000122,479,M00412,89,20260531,cancelled,2,14694.0,200
O0000123,429,M00366,54,20260608,cancelled,2,30532.0,800
O0000124,295,M00250,1,20260623,paid,1,23971.0,800
O0000125,136,M00118,11,20260619,paid,2,97101.0,400
O0000126,509,M00438,96,20260511,paid,3,75841.0,0
O0000127,554,M00478,8,20260613,completed,2,83939.0,800
O0000128,50,M00044,52,20260526,paid,3,6330.0,600
O0000129,84,M00072,31,20260524,paid,3,8255.0,800
O0000130,225,M00193,87,20260520,paid,2,8624.0,800
O0000131,270,M00231,67,20260514,cancelled,1,25032.0,800
O0000132,39,M00033,98,20260627,cancelled,1,29863.0,0
O0000133,88,M00076,68,20260502,completed,3,23470.0,800
O0000134,150,M00131,14,20260603,completed,3,95649.0,800
O0000135,401,M00343,70,20260622,completed,2,72082.0,0
O0000136,175,M00151,9,20260530,cancelled,2,35708.0,600
O0000137,317,M00270,28,20260507,completed,2,48161.0,600
O0000138,422,M00360,97,20260607,paid,3,5621.0,600
O0000139,219,M00189,89,20260531,completed,2,31390.0,200
O0000140,225,M00193,74,20260525,completed,3,78317.0,200
O0000141,217,M00187,74,20260620,paid,3,110106.0,600
O0000142,83,M00071,47,20260513,paid,3,86787.0,600
O0000143,349,M00298,37,20260531,cancelled,2,39579.0,200
O0000144,44,M00038,96,20260606,paid,1,48902.0,600
O0000145,155,M00135,72,20260617,paid,3,50898.0,0
O0000146,395,M00338,62,20260518,completed,1,37510.0,800
O0000147,250,M00214,76,20260620,completed,2,71731.0,200
O0000148,267,M00229,23,20260601,paid,2,112077.0,600
O0000149,82,M00070,45,20260601,paid,3,14837.0,200
O0000150,4,M00004,29,20260607,paid,3,30485.0,600
O0000151,104,M00091,23,20260520,paid,2,61292.0,600
O0000152,378,M00323,40,20260603,cancelled,2,89573.0,600
O0000153,180,M00156,20,20260618,completed,3,66701.0,200
O0000154,541,M00467,58,20260516,cancelled,1,51550.0,800
O0000155,106,M00092,44,20260624,completed,2,23401.0,600
O0000156,36,M00030,26,20260504,paid,3,25257.0,200
O0000157,247,M00211,40,20260624,completed,1,87784.0,400
O0000158,514,M00442,90,20260603,paid,3,17816.0,200
O0000159,425,M00363,40,20260528,completed,1,114149.0,0
O0000160,522,M00450,49,20260622,paid,2,18250.0,200
O0000161,240,M00205,89,20260522,cancelled,3,116634.0,600
O0000162,459,M00393,67,20260625,cancelled,2,104533.0,200
O0000163,63,M00055,57,20260609,paid,3,36772.0,0
O0000164,402,M00344,90,20260611,paid,3,74846.0,400
O0000165,365,M00312,64,20260618,paid,3,2996.0,600
O0000166,456,M00390,10,20260506,paid,3,12029.0,800
O0000167,104,M00091,73,20260622,cancelled,1,50029.0,800
O0000168,14,M00013,79,20260613,completed,3,90251.0,0
O0000169,238,M00203,62,20260509,completed,3,105977.0,800
O0000170,136,M00118,89,20260529,completed,3,18095.0,200
O0000171,349,M00298,99,20260610,completed,3,54404.0,800
O0000172,502,M00432,65,20260525,completed,2,54144.0,400
O0000173,347,M00297,39,20260514,cancelled,2,36176.0,200
O0000174,554,M00478,26,20260610,paid,3,115599.0,0
O0000175,164,M00143,41,20260512,paid,2,73748.0,800
O0000176,465,M00399,60,20260519,paid,2,100076.0,200
O0000177,135,M00117,77,20260610,completed,3,115410.0,200
O0000178,198,M00173,85,20260516,paid,1,12096.0,400
O0000179,456,M00390,100,20260605,paid,3,51694.0,400
O0000180,263,M00226,38,20260530,paid,3,91443.0,600
O0000181,205,M00177,66,20260623,cancelled,3,104963.0,400
O0000182,303,M00257,30,20260529,paid,3,16299.0,800
O0000183,278,M00236,57,20260601,paid,1,114972.0,200
O0000184,1,M00001,52,20260530,paid,1,20476.0,800
O0000185,354,M00303,22,20260501,paid,1,2354.0,400
O0000186,240,M00205,51,20260618,paid,3,103077.0,800
O0000187,61,M00053,37,20260525,paid,1,55503.0,200
O0000188,306,M00259,95,20260605,cancelled,2,36680.0,400
O0000189,39,M00033,17,20260515,paid,3,16703.0,400
O0000190,450,M00385,63,20260619,paid,2,3977.0,400
O0000191,536,M00463,74,20260529,cancelled,3,101542.0,0
O0000192,533,M00460,30,20260627,paid,2,6219.0,400
O0000193,482,M00414,11,20260506,paid,3,25391.0,0
O0000194,258,M00221,15,20260519,paid,3,29279.0,200
O0000195,95,M00083,51,20260616,completed,3,91445.0,200
O0000196,327,M00279,85,20260605,cancelled,3,8729.0,600
O0000197,565,M00489,6,20260510,paid,2,106035.0,0
O0000198,243,M00208,9,20260621,completed,2,2748.0,0
O0000199,486,M00418,61,20260502,completed,3,2809.0,600
O0000200,380,M00325,5,20260604,completed,3,3297.0,0
O0000201,93,M00081,45,20260516,paid,3,48374.0,600
O0000202,413,M00353,91,20260509,paid,3,118355.0,600
O0000203,12,M00011,46,20260520,paid,2,16356.0,600
O0000204,335,M00286,92,20260618,paid,3,17405.0,200
O0000205,88,M00076,16,20260521,completed,1,116101.0,800
O0000206,179,M00155,20,20260508,completed,3,31731.0,600
O0000207,321,M00273,13,20260506,paid,2,78661.0,600
O0000208,509,M00438,50,20260514,paid,2,74066.0,800
O0000209,368,M00315,53,20260514,cancelled,1,1284.0,200
O0000210,521,M00449,25,20260627,paid,3,115976.0,800
O0000211,80,M00069,99,20260629,paid,2,86435.0,200
O0000212,557,M00481,52,20260512,completed,1,70631.0,600
O0000213,19,M00017,32,20260503,paid,1,44450.0,600
O0000214,513,M00442,29,20260519,completed,1,58584.0,400
O0000215,296,M00251,94,20260501,completed,3,67039.0,800
O0000216,389,M00332,24,20260617,paid,3,75134.0,800
O0000217,251,M00215,80,20260508,paid,3,109640.0,600
O0000218,577,M00497,19,20260625,paid,3,111275.0,800
O0000219,552,M00476,53,20260630,paid,3,3655.0,0
O0000220,44,M00038,29,20260528,completed,3,9198.0,600
O0000221,38,M00032,40,20260621,paid,3,93486.0,400
O0000222,232,M00199,12,20260524,completed,1,44142.0,600
O0000223,61,M00053,92,20260521,cancelled,2,68227.0,400
O0000224,491,M00423,10,20260611,paid,2,5776.0,800
O0000225,84,M00072,4,20260501,cancelled,3,4998.0,200
O0000226,261,M00224,69,20260517,cancelled,3,3548.0,0
O0000227,293,M00248,33,20260601,cancelled,3,18157.0,800
O0000228,37,M00031,9,20260511,paid,2,15001.0,0
O0000229,107,M00093,62,20260525,completed,1,4382.0,0
O0000230,275,M00234,20,20260517,paid,2,69088.0,400
O0000231,414,M00354,88,20260512,completed,2,119923.0,600
O0000232,298,M00252,46,20260521,cancelled,1,95698.0,600
O0000233,406,M00348,74,20260526,paid,3,6108.0,600
O0000234,183,M00159,55,20260625,paid,3,103037.0,600
O0000235,362,M00310,35,20260626,cancelled,2,30080.0,400
O0000236,122,M00108,100,20260612,cancelled,1,92444.0,0
O0000237,233,M00199,62,20260607,completed,3,38156.0,200
O0000238,230,M00197,99,20260527,completed,3,110209.0,600
O0000239,476,M00409,4,20260628,completed,3,89312.0,800
O0000240,511,M00440,9,20260527,paid,3,20688.0,600
O0000241,113,M00099,63,20260527,paid,2,54556.0,800
O0000242,395,M00338,95,20260524,paid,2,119245.0,400
O0000243,259,M00222,18,20260628,cancelled,2,65450.0,600
O0000244,89,M00077,37,20260629,paid,1,80727.0,200
O0000245,154,M00135,29,20260504,paid,2,74033.0,200
O0000246,350,M00299,35,20260619,cancelled,1,72986.0,0
O0000247,180,M00156,74,20260522,completed,1,83297.0,600
O0000248,467,M00401,2,20260521,completed,1,32902.0,800
O0000249,252,M00216,34,20260503,completed,1,16222.0,800
O0000250,187,M00163,18,20260518,completed,3,25444.0,800
O0000251,522,M00450,50,20260613,completed,1,112360.0,400
O0000252,371,M00317,76,20260519,cancelled,2,26184.0,200
O0000253,400,M00342,50,20260515,completed,3,103132.0,200
O0000254,502,M00432,66,20260519,completed,1,10747.0,200
O0000255,492,M00424,62,20260527,completed,2,111851.0,600
O0000256,80,M00069,62,20260523,cancelled,2,116076.0,200
O0000257,473,M00406,26,20260531,paid,2,88562.0,800
O0000258,7,M00007,27,20260511,paid,1,41945.0,800
O0000259,298,M00252,31,20260526,paid,1,82419.0,800
O0000260,550,M00474,54,20260627,paid,2,116470.0,0
O0000261,445,M00380,4,20260630,paid,1,98816.0,400
O0000262,26,M00022,65,20260611,paid,2,113282.0,800
O0000263,519,M00447,57,20260524,completed,1,80882.0,200
O0000264,404,M00346,74,20260620,completed,1,49569.0,200
O0000265,247,M00211,7,20260624,paid,2,84784.0,600
O0000266,281,M00239,82,20260615,cancelled,2,58016.0,800
O0000267,32,M00027,31,20260513,cancelled,2,56637.0,600
O0000268,437,M00373,54,20260618,paid,3,78203.0,400
O0000269,40,M00034,26,20260612,paid,2,77488.0,400
O0000270,531,M00458,77,20260503,completed,1,93452.0,200
O0000271,496,M00427,74,20260529,completed,1,87443.0,400
O0000272,326,M00278,33,20260604,cancelled,1,102469.0,800
O0000273,406,M00348,73,20260603,paid,1,115936.0,0
O0000274,32,M00027,34,20260518,paid,1,17601.0,0
O0000275,309,M00262,49,20260605,paid,3,33579.0,400
O0000276,550,M00474,51,20260519,cancelled,1,8279.0,200
O0000277,153,M00134,69,20260602,cancelled,3,52840.0,600
O0000278,152,M00133,9,20260613,paid,1,93563.0,200
O0000279,334,M00285,10,20260529,completed,1,43389.0,400
O0000280,445,M00380,38,20260626,paid,2,97227.0,800
O0000281,413,M00353,23,20260602,cancelled,1,38640.0,800
O0000282,547,M00472,65,20260530,cancelled,2,49097.0,200
O0000283,145,M00126,80,20260530,completed,2,98696.0,0
O0000284,290,M00246,48,20260527,completed,3,78376.0,600
O0000285,118,M00104,6,20260515,paid,3,109651.0,400
O0000286,333,M00284,7,20260619,paid,1,42096.0,200
O0000287,533,M00460,63,20260507,completed,2,118657.0,200
O0000288,503,M00433,78,20260513,paid,3,111035.0,0
O0000289,113,M00099,99,20260505,cancelled,1,90474.0,200
O0000290,344,M00294,19,20260516,completed,3,89861.0,200
O0000291,265,M00228,26,20260523,completed,3,64230.0,600
O0000292,26,M00022,34,20260630,completed,3,28775.0,800
O0000293,541,M00467,17,20260629,paid,2,33593.0,800
O0000294,535,M00462,88,20260624,completed,2,58260.0,200
O0000295,329,M00281,51,20260525,paid,1,13490.0,400
O0000296,474,M00407,73,20260607,completed,3,34990.0,200
O0000297,346,M00296,51,20260614,paid,2,96426.0,200
O0000298,19,M00017,93,20260520,paid,1,67081.0,400
O0000299,5,M00005,11,20260530,completed,1,61474.0,600
O0000300,212,M00183,68,20260623,cancelled,1,94882.0,0
O0000301,385,M00329,8,20260523,completed,2,32105.0,0
O0000302,528,M00455,94,20260523,completed,3,64048.0,0
O0000303,198,M00173,76,20260507,cancelled,2,31209.0,600
O0000304,156,M00136,12,20260515,paid,2,25705.0,200
O0000305,129,M00114,63,20260608,paid,3,87377.0,600
O0000306,483,M00415,65,20260611,paid,2,43872.0,0
O0000307,433,M00370,47,20260516,paid,2,62236.0,800
O0000308,406,M00348,24,20260519,paid,3,115301.0,400
O0000309,301,M00255,4,20260623,completed,3,7383.0,0
O0000310,309,M00262,80,20260515,completed,3,74902.0,400
O0000311,429,M00366,58,20260608,cancelled,2,111961.0,600
O0000312,169,M00148,73,20260528,completed,3,108279.0,800
O0000313,121,M00107,49,20260607,completed,2,97911.0,600
O0000314,341,M00291,65,20260601,cancelled,2,11774.0,400
O0000315,221,M00190,66,20260611,completed,2,16441.0,800
O0000316,310,M00263,88,20260618,cancelled,2,73882.0,800
O0000317,306,M00259,61,20260623,completed,2,70778.0,400
O0000318,11,M00010,86,20260606,completed,3,117289.0,600
O0000319,241,M00206,21,20260617,paid,2,90933.0,600
O0000320,534,M00461,31,20260509,paid,2,107106.0,400
O0000321,168,M00147,17,20260603,paid,3,81813.0,600
O0000322,430,M00367,40,20260520,completed,1,47566.0,600
O0000323,577,M00497,88,20260625,completed,1,117523.0,200
O0000324,247,M00211,49,20260620,paid,1,32861.0,600
O0000325,159,M00138,61,20260624,paid,2,59653.0,400
O0000326,287,M00243,86,20260526,cancelled,1,15604.0,400
O0000327,403,M00345,93,20260513,paid,3,46959.0,200
O0000328,424,M00362,60,20260617,paid,1,3969.0,0
O0000329,67,M00058,35,20260620,paid,3,89001.0,0
O0000330,43,M00037,41,20260520,cancelled,2,47598.0,200
O0000331,58,M00051,38,20260527,completed,2,110923.0,0
O0000332,211,M00182,72,20260506,cancelled,3,61623.0,800
O0000333,185,M00161,100,20260509,paid,2,46475.0,200
O0000334,563,M00487,9,20260507,completed,1,23525.0,400
O0000335,217,M00187,23,20260619,completed,1,54568.0,400
O0000336,74,M00063,29,20260627,cancelled,2,95266.0,400
O0000337,91,M00079,7,20260628,completed,3,79896.0,600
O0000338,422,M00360,97,20260602,paid,2,84965.0,0
O0000339,359,M00307,79,20260616,completed,3,119330.0,800
O0000340,492,M00424,69,20260525,cancelled,2,4582.0,200
O0000341,251,M00215,88,20260516,paid,3,112596.0,0
O0000342,524,M00452,9,20260503,paid,1,102767.0,400
O0000343,86,M00074,46,20260524,cancelled,1,101406.0,400
O0000344,412,M00352,33,20260605,paid,2,26148.0,600
O0000345,528,M00455,70,20260509,paid,2,1490.0,800
O0000346,48,M00042,4,20260515,cancelled,3,5814.0,0
O0000347,558,M00482,39,20260622,paid,3,35540.0,200
O0000348,523,M00451,34,20260607,paid,3,63290.0,800
O0000349,181,M00157,41,20260518,completed,3,40661.0,400
O0000350,373,M00318,71,20260525,completed,2,77684.0,200
O0000351,46,M00040,28,20260602,paid,1,52906.0,400
O0000352,554,M00478,36,20260602,completed,1,48109.0,800
O0000353,391,M00334,37,20260513,paid,1,42203.0,600
O0000354,72,M00062,60,20260507,completed,3,119170.0,400
O0000355,391,M00334,34,20260511,paid,3,58934.0,200
O0000356,441,M00376,6,20260627,paid,1,85537.0,400
O0000357,388,M00331,97,20260627,cancelled,2,5913.0,0
O0000358,68,M00059,89,20260527,completed,3,28603.0,400
O0000359,333,M00284,84,20260504,paid,1,48766.0,800
O0000360,425,M00363,71,20260623,paid,2,36992.0,200
O0000361,529,M00456,29,20260613,completed,1,14841.0,600
O0000362,401,M00343,70,20260511,completed,2,109993.0,600
O0000363,480,M00412,94,20260618,paid,2,82714.0,400
O0000364,458,M00392,9,20260613,completed,2,79192.0,200
O0000365,353,M00302,46,20260507,paid,3,101734.0,400
O0000366,48,M00042,90,20260512,paid,2,79788.0,0
O0000367,502,M00432,65,20260513,completed,3,28040.0,200
O0000368,292,M00247,89,20260605,cancelled,3,19798.0,800
O0000369,200,M00174,37,20260503,cancelled,1,26810.0,200
O0000370,311,M00264,20,20260508,paid,3,4784.0,800
O0000371,368,M00315,57,20260602,paid,2,36002.0,200
O0000372,403,M00345,33,20260525,paid,1,55785.0,400
O0000373,226,M00193,99,20260612,completed,2,65686.0,400
O0000374,184,M00160,40,20260502,paid,2,108568.0,0
O0000375,432,M00369,73,20260609,completed,1,7191.0,800
O0000376,51,M00045,38,20260605,completed,2,84259.0,600
O0000377,316,M00269,84,20260627,paid,3,21642.0,200
O0000378,13,M00012,15,20260519,cancelled,2,92303.0,200
O0000379,488,M00420,65,20260508,completed,3,38937.0,200
O0000380,59,M00052,51,20260513,paid,3,1803.0,0
O0000381,5,M00005,95,20260523,paid,3,69163.0,600
O0000382,199,M00173,65,20260606,paid,1,60320.0,200
O0000383,248,M00212,46,20260603,cancelled,3,117552.0,400
O0000384,472,M00405,53,20260504,cancelled,1,9081.0,200
O0000385,529,M00456,28,20260501,paid,3,102154.0,400
O0000386,231,M00198,3,20260614,completed,3,25910.0,400
O0000387,508,M00437,15,20260525,paid,3,78160.0,800
O0000388,44,M00038,8,20260515,paid,1,79753.0,800
O0000389,377,M00322,72,20260516,paid,2,6295.0,400
O0000390,508,M00437,21,20260606,completed,2,60395.0,600
O0000391,242,M00207,19,20260522,paid,2,17196.0,400
O0000392,537,M00464,85,20260523,cancelled,1,8795.0,600
O0000393,346,M00296,56,20260518,paid,2,66240.0,400
O0000394,107,M00093,21,20260519,paid,3,98995.0,200
O0000395,288,M00244,23,20260602,completed,1,43015.0,200
O0000396,344,M00294,89,20260522,completed,3,85782.0,800
O0000397,170,M00148,82,20260622,paid,1,63143.0,400
O0000398,467,M00401,6,20260526,cancelled,1,10993.0,400
O0000399,344,M00294,71,20260621,completed,3,115418.0,200
O0000400,391,M00334,25,20260617,completed,3,31880.0,200
O0000401,252,M00216,8,20260506,cancelled,2,114252.0,400
O0000402,323,M00275,2,20260619,cancelled,2,79988.0,200
O0000403,531,M00458,98,20260503,completed,1,11841.0,400
O0000404,465,M00399,85,20260506,cancelled,1,54342.0,400
O0000405,521,M00449,29,20260612,paid,3,32808.0,800
O0000406,577,M00497,66,20260605,completed,3,40804.0,0
O0000407,213,M00184,22,20260522,completed,3,98602.0,600
O0000408,256,M00219,44,20260529,paid,2,35392.0,400
O0000409,398,M00340,93,20260614,cancelled,3,38510.0,400
O0000410,242,M00207,35,20260503,paid,3,45721.0,200
O0000411,141,M00122,69,20260527,paid,2,30317.0,800
O0000412,368,M00315,71,20260525,paid,3,50375.0,800
O0000413,438,M00374,34,20260605,paid,3,74596.0,0
O0000414,480,M00412,22,20260604,paid,1,12401.0,0
O0000415,341,M00291,29,20260611,completed,1,5668.0,200
O0000416,241,M00206,41,20260616,completed,1,64081.0,800
O0000417,525,M00453,98,20260604,paid,2,100081.0,600
O0000418,327,M00279,6,20260511,cancelled,3,2081.0,200
O0000419,175,M00151,46,20260506,completed,3,7192.0,600
O0000420,554,M00478,99,20260613,cancelled,3,104916.0,400
O0000421,148,M00129,53,20260620,completed,3,65360.0,600
O0000422,180,M00156,57,20260607,completed,2,55365.0,600
O0000423,467,M00401,17,20260519,paid,1,38789.0,200
O0000424,513,M00442,60,20260527,cancelled,3,7556.0,200
O0000425,277,M00236,11,20260516,paid,1,87545.0,800
O0000426,252,M00216,49,20260619,cancelled,2,84703.0,400
O0000427,8,M00008,88,20260507,completed,3,27598.0,200
O0000428,245,M00210,52,20260502,completed,1,65239.0,0
O0000429,328,M00280,49,20260604,completed,3,34309.0,400
O0000430,342,M00292,74,20260528,completed,2,25423.0,200
O0000431,57,M00050,14,20260624,cancelled,2,66750.0,200
O0000432,162,M00141,28,20260623,completed,1,103137.0,0
O0000433,276,M00235,29,20260604,cancelled,1,59949.0,200
O0000434,4,M00004,26,20260614,completed,2,119043.0,800
O0000435,475,M00408,39,20260606,paid,3,52243.0,800
O0000436,303,M00257,48,20260522,completed,2,53574.0,200
O0000437,318,M00271,20,20260603,paid,3,15183.0,200
O0000438,432,M00369,3,20260529,paid,3,9924.0,600
O0000439,299,M00253,14,20260523,completed,1,33378.0,200
O0000440,489,M00421,95,20260625,completed,3,66529.0,800
O0000441,535,M00462,97,20260523,paid,3,89518.0,400
O0000442,511,M00440,26,20260602,completed,1,59768.0,400
O0000443,399,M00341,91,20260527,paid,1,80939.0,600
O0000444,309,M00262,39,20260620,paid,3,69036.0,800
O0000445,485,M00417,26,20260616,completed,3,109748.0,800
O0000446,280,M00238,18,20260602,completed,2,18013.0,600
O0000447,202,M00175,39,20260627,paid,3,3841.0,0
O0000448,415,M00355,87,20260620,completed,3,22814.0,400
O0000449,432,M00369,40,20260610,cancelled,3,76457.0,800
O0000450,368,M00315,76,20260505,completed,2,100518.0,200
O0000451,64,M00056,62,20260528,completed,1,33994.0,600
O0000452,536,M00463,11,20260506,cancelled,1,30949.0,600
O0000453,241,M00206,28,20260502,paid,3,11775.0,600
O0000454,14,M00013,93,20260615,paid,2,69930.0,200
O0000455,556,M00480,83,20260518,completed,2,7154.0,600
O0000456,17,M00015,78,20260508,cancelled,1,30465.0,0
O0000457,229,M00196,39,20260501,completed,2,19712.0,400
O0000458,465,M00399,2,20260515,paid,2,108663.0,600
O0000459,29,M00025,99,20260527,paid,1,20413.0,800
O0000460,446,M00381,65,20260530,paid,1,17191.0,200
O0000461,312,M00265,47,20260614,cancelled,1,54438.0,400
O0000462,368,M00315,55,20260524,cancelled,1,91581.0,0
O0000463,322,M00274,29,20260504,completed,2,82951.0,600
O0000464,301,M00255,67,20260520,paid,1,67988.0,400
O0000465,552,M00476,79,20260511,completed,3,54314.0,800
O0000466,508,M00437,36,20260615,paid,1,11020.0,800
O0000467,391,M00334,3,20260502,completed,1,70239.0,0
O0000468,348,M00297,5,20260624,paid,2,47712.0,600
O0000469,429,M00366,97,20260527,paid,2,76683.0,200
O0000470,346,M00296,43,20260609,paid,1,52049.0,400
O0000471,76,M00065,88,20260516,completed,2,66625.0,0
O0000472,529,M00456,94,20260608,paid,3,18350.0,800
O0000473,210,M00181,72,20260609,paid,2,110284.0,200
